timestep,winddirection,windspeed,windspd_10m_gust,wavedirection,Altura da onda,waveheight_max,Período de pico de onda,visibility,temperature,prec03,name,lat,lon
2020-02-19 09:00,13,13.8012924,17.3002116,78,2,3.5,8.3,10,27,0,Merluza,-25.26628,-45.25416
2020-02-19 12:00,354,9.5248356,12.0518328,78,1.9,3.3,8.4,10,27.5,0,Merluza,-25.26628,-45.25416
2020-02-19 15:00,15,8.3585292,10.4967576,79,1.8,3.2,8.4,10,28,0,Merluza,-25.26628,-45.25416
2020-02-19 18:00,42,9.1360668,11.4686796,80,1.7,3,8.4,10,28.2,0,Merluza,-25.26628,-45.25416
2020-02-19 21:00,6,11.02159548,13.8012924,79,1.6,2.8,8.39,10,27.92,0,Merluza,-25.26628,-45.25416
2020-02-20 00:00,351,7.03671528,8.9416824,80,1.5,2.6,8.39,10,27.61,0,Merluza,-25.26628,-45.25416
2020-02-20 03:00,6,3.4989192,4.4708412,81,1.5,2.6,8.39,10,27.12,0,Merluza,-25.26628,-45.25416
2020-02-20 06:00,86,2.68250472,3.3045348,83,1.49,2.6,8.39,10,26.81,0,Merluza,-25.26628,-45.25416
2020-02-20 09:00,134,2.39092812,2.915766,85,1.42,2.5,8.38,10,26.79,0,Merluza,-25.26628,-45.25416
2020-02-20 12:00,359,1.5550752,1.943844,87,1.7,3,8.3,10,26.9,0,Merluza,-25.26628,-45.25416
2020-02-20 15:00,179,3.1101504,3.887688,89,1.7,3,8.4,10,27.4,0,Merluza,-25.26628,-45.25416
2020-02-20 18:00,164,6.6090696,8.3585292,95,1.8,3.2,8.5,10,27.9,0,Merluza,-25.26628,-45.25416
2020-02-20 21:00,137,7.1922228,9.1360668,102,1.8,3.2,8.5,10,27.7,1.1,Merluza,-25.26628,-45.25416
2020-02-21 00:00,155,9.1360668,11.4686796,114,1.8,3.2,8.5,5,26.2,6.5,Merluza,-25.26628,-45.25416
2020-02-21 03:00,160,11.663064,14.7732144,127,1.7,3,8.6,4,25.3,15.5,Merluza,-25.26628,-45.25416
2020-02-21 06:00,165,15.7451364,19.8272088,144,1.7,3,8.9,5,25.6,10.9,Merluza,-25.26628,-45.25416
2020-02-21 09:00,147,18.0777492,22.7429748,148,1.7,3,9.2,10,25.6,3.5,Merluza,-25.26628,-45.25416
2020-02-21 12:00,156,20.9935152,26.4362784,150,2,3.5,9.2,10,25.4,3.2,Merluza,-25.26628,-45.25416
2020-02-21 15:00,165,23.326128,29.3520444,159,2.4,4.2,9.1,10,25.2,1.2,Merluza,-25.26628,-45.25416
2020-02-21 18:00,159,24.6868188,31.101504,165,2.5,4.4,8.6,10,25,0.7,Merluza,-25.26628,-45.25416
2020-02-21 21:00,153,23.5205124,29.5464288,172,2.8,4.9,8.4,10,24.8,0.4,Merluza,-25.26628,-45.25416
2020-02-22 00:00,157,21.382284,27.0194316,175,2.8,4.9,8.7,10,24.5,0.2,Merluza,-25.26628,-45.25416
2020-02-22 03:00,161,20.7991308,26.241894,179,2.8,4.9,9,10,24.3,0.1,Merluza,-25.26628,-45.25416
2020-02-22 06:00,166,20.6047464,26.0475096,183,2.8,4.9,9.9,10,23.9,0.1,Merluza,-25.26628,-45.25416
2020-02-22 09:00,170,19.6328244,24.6868188,187,3,5.2,11.2,10,23.7,0.1,Merluza,-25.26628,-45.25416
2020-02-22 12:00,175,18.8552868,23.7148968,191,3.1,5.4,11.9,10,23.8,0.1,Merluza,-25.26628,-45.25416
2020-02-22 15:00,180,18.466518,23.326128,193,3.3,5.8,12.3,10,23.9,0,Merluza,-25.26628,-45.25416
2020-02-22 18:00,173,14.8704066,18.6609024,194,3.4,6,12.6,10,23.75,0.11,Merluza,-25.26628,-45.25416
2020-02-22 21:00,165,12.8293704,16.1339052,195,3.6,6.3,12.8,10,23.6,0.1,Merluza,-25.26628,-45.25416
2020-02-23 00:00,161,11.663064,14.7732144,196,3.6,6.3,12.9,10,23.4,0,Merluza,-25.26628,-45.25416
2020-02-23 03:00,155,10.1079888,12.8293704,196,3.6,6.3,13,10,23.2,0,Merluza,-25.26628,-45.25416
2020-02-23 06:00,148,9.9136044,12.4406016,195,3.5,6.1,13,10,23.4,0,Merluza,-25.26628,-45.25416
2020-02-23 09:00,141,9.5248356,12.0518328,194,3.4,6,13,10,23.6,0,Merluza,-25.26628,-45.25416
2020-02-23 12:00,135,9.9136044,12.4406016,192,3.3,5.8,12.9,10,23.8,0,Merluza,-25.26628,-45.25416
