Entidade;Classe
ACRE;Bacia
AFOGADOS DA INGAZEIRA;Bacia
AGUA BONITA;Bacia
ALAGOAS;Bacia
ALMADA;Bacia
ALTO TAPAJOS;Bacia
AMAPA;Bacia
AMAZONAS;Bacia
ARARIPE;Bacia
BANANAL;Bacia
BARREIRINHAS;Bacia
BARRO;Bacia
BETANIA;Bacia
BOM NOME;Bacia
BRAGANCA VIZEU-ILHA NOVA;Bacia
CAMAMU;Bacia
CAMPOS;Bacia
CEARÁ;Bacia
CEDRO;Bacia
CUMURUXATIBA;Bacia
CURITIBA;Bacia
ESPIRITO SANTO;Bacia
FOZ DO AMAZONAS;Bacia
ICO;Bacia
IGUATU;Bacia
IRECE;Bacia
ITABERABA;Bacia
ITABORAI;Bacia
JACUIPE;Bacia
JATOBA;Bacia
JEQUITINHONHA;Bacia
LIMA CAMPOS;Bacia
MADRE DE DIOS;Bacia
MALHADO VERMELHO;Bacia
MARAJO;Bacia
MIRANDIBA;Bacia
MUCURI;Bacia
PANTANAL;Bacia
PARAIBA-PERNAMBUCO;Bacia
PARA-MARANHAO;Bacia
PARANA;Bacia
PARECIS-ALTO XINGU;Bacia
PARNAIBA;Bacia
PELOTAS;Bacia
POMBAL;Bacia
POTIGUAR;Bacia
RECONCAVO;Bacia
RESENDE;Bacia
Rio do Peixe;Bacia
SANTOS;Bacia
SAO FRANCISCO;Bacia
SAO JOSE DO BELMONTE;Bacia
SAO LUIZ;Bacia
SAO PAULO;Bacia
SERGIPE;Bacia
SERRA DO INACIO;Bacia
SOLIMOES;Bacia
SOUZA;Bacia
TACUTU;Bacia
TAUBATE;Bacia
TRIUNFO;Bacia
TUCANO CENTRAL;Bacia
TUCANO NORTE;Bacia
TUCANO SUL;Bacia
TUPANACI;Bacia
AREA DO ALS-25;Campo
AREA DO ALS-27;Campo
AREA DO ALS-32;Campo
CAVALA;Campo
MERO;Campo
PARU;Campo
AZULAO;Campo
IGARAPE CUIA;Campo
JAPIIM;Campo
PARANA AUTAS MIRIM;Campo
AREA DO BAS-64;Campo
CAMARAO NORTE;Campo
MANATI;Campo
SARDINHA;Campo
ABALONE2;Campo
ALBACORA;Campo
ALBACORA LESTE;Campo
ANC BRAVA;Campo
ANEQUIM;Campo
AREA DO RJS-150;Campo
AREA DO RJS-433;Campo
AREA DO RJS-485;Campo
AREA DO RJS-498;Campo
AREA ESS-100;Campo
ARGONAUTA;Campo
BADEJO;Campo
BAGRE;Campo
BALEIA ANA;Campo
BALEIA AZUL;Campo
BALEIA BICUDA;Campo
BALEIA FRANCA;Campo
BARRACUDA;Campo
BICUDO;Campo
BIJUPIRA;Campo
BONITO;Campo
CACHALOTE;Campo
CARAPEBA;Campo
CARAPICU;Campo
CARATAI;Campo
CARATINGA;Campo
CATUA;Campo
CAXAREU;Campo
CHERNE;Campo
CONGRO;Campo
CORVINA;Campo
ENCHOVA;Campo
ENCHOVA OESTE;Campo
ESPADARTE;Campo
FRADE;Campo
GAROUPA;Campo
GAROUPINHA;Campo
GUARAJUBA;Campo
JUBARTE;Campo
LINGUADO;Campo
MALHADO;Campo
MANGANGA;Campo
MARIMBA;Campo
MARLIM;Campo
MARLIM LESTE;Campo
MARLIM SUL;Campo
MAROMBA;Campo
MOREIA;Campo
NAMORADO;Campo
NARU;Campo
NAUTILUS;Campo
NORDESTE DE NAMORADO;Campo
OSTRA;Campo
PAMPO;Campo
PAO DE ACUCAR;Campo
PAPA-TERRA;Campo
PARATI;Campo
PARGO;Campo
PIRAMBU;Campo
PIRAUNA;Campo
RONCADOR;Campo
SALEMA;Campo
TARTARUGA MESTICA;Campo
TARTARUGA VERDE;Campo
TARTARUGA VERDE AREA DA UNIAO;Campo
TARTARUGA VERDE SUDOESTE;Campo
TRILHA;Campo
VERMELHO;Campo
VIOLA;Campo
VOADOR;Campo
XERELETE;Campo
XERELETE SUL;Campo
1BRSA713RJS;Campo
AREA CES-141;Campo
AREA DO CES-128;Campo
AREA DO CES-33;Campo
AREA DO CES-49;Campo
AREA DO CES-66;Campo
AREA DO CES-74;Campo
AREA DO CES-79;Campo
AREA DO CES-90;Campo
ATUM;Campo
CURIMA;Campo
ESPADA;Campo
XAREU;Campo
1BRSA1080CES;Campo
AREA DO BAS-104;Campo
AREA DO BAS-39;Campo
AREA DO BAS-48;Campo
AREA DO BAS-91;Campo
ARRAIA;Campo
AREA DO ESS-30;Campo
AREA DO 1BRSA936DESS;Campo
CACAO;Campo
CAMARUPIM;Campo
CAMARUPIM NORTE;Campo
CANAPU;Campo
CANGOA;Campo
CARAPO;Campo
FRAGATA;Campo
GOLFINHO;Campo
PEROA;Campo
1BRSA1143DESS;Campo
1BRSA882ESS;Campo
1BRSA926DESS;Campo
1BRSA983ESS;Campo
PIRAPEMA;Campo
AREA DO BAS-37;Campo
AREA DO BAS-60;Campo
AREA DO BAS-85;Campo
AREA DO BAS-86;Campo
AREA DO PAS-11;Campo
BARRA BONITA;Campo
MATO RICO;Campo
AGULHA;Campo
ARABAIANA;Campo
ARATUM;Campo
AREA DO RNS-36;Campo
BIQUARA;Campo
CARAUNA;Campo
CIOBA;Campo
DENTAO;Campo
GUAIUBA;Campo
GUAJA;Campo
NORTE DE PESCADA;Campo
OESTE DE UBARANA;Campo
PESCADA;Campo
SALEMA BRANCA;Campo
SERRA;Campo
SIRI;Campo
UBARANA;Campo
ACAJA;Campo
AGUA GRANDE;Campo
APRAIUS;Campo
ARACAS;Campo
ARACAS LESTE;Campo
ARATU;Campo
AREA DO BRSA1299;Campo
AREA DO BRSA1300;Campo
AREA DO BRSA1304;Campo
AREA DO BRSA-1331D-BA;Campo
AREA DO BRSA1347;Campo
AREA DO BRSA1351;Campo
BEIJA-FLOR;Campo
BELA VISTA;Campo
BIRIBA;Campo
BOM LUGAR;Campo
BONSUCESSO;Campo
BREJINHO (REC);Campo
BURACICA;Campo
BURIZINHO;Campo
CAMACARI;Campo
CAMBACICA;Campo
CANABRAVA;Campo
CANARIO DA TERRA;Campo
CANARIO DA TERRA SUL;Campo
CANDEIAS;Campo
CANTAGALO;Campo
CARACATU;Campo
CARDEAL;Campo
CASSARONGONGO;Campo
CEXIS;Campo
CIDADE DE ENTRE RIOS;Campo
CURIO;Campo
DIAS DAVILA;Campo
DOM JOAO;Campo
FAZENDA ALTO DAS PEDRAS;Campo
FAZENDA ALVORADA;Campo
FAZENDA AZEVEDO;Campo
FAZENDA AZEVEDO OESTE;Campo
FAZENDA BALSAMO;Campo
FAZENDA BELEM (REC);Campo
FAZENDA BOA ESPERANCA;Campo
FAZENDA FLORESTA;Campo
FAZENDA GAMELEIRA;Campo
FAZENDA IMBE;Campo
FAZENDA MAMOEIRO;Campo
